title,date
"Maid: Limited Series: Snaps","11/8/21"
"Maid: Limited Series: Sky Blue","11/8/21"
"Maid: Limited Series: Bear Hunt","11/8/21"
"Maid: Limited Series: String Cheese","11/8/21"
"Maid: Limited Series: M","11/8/21"
"Maid: Limited Series: Thief","11/7/21"
"Maid: Limited Series: Cashmere","11/7/21"
"Maid: Limited Series: Sea Glass","11/7/21"
"Maid: Limited Series: Ponies","11/7/21"
"Maid: Limited Series: Dollar Store","11/7/21"
"Squid Game: Season 1: Red Light, Green Light","11/7/21"
"Squid Game: Season 1: One Lucky Day","11/7/21"
"Squid Game: Season 1: Front Man","11/7/21"
"Squid Game: Season 1: VIPS","11/6/21"
"Squid Game: Season 1: Gganbu","11/6/21"
"Squid Game: Season 1: A Fair World","11/6/21"
"Squid Game: Season 1: Stick to the Team","11/6/21"
"Squid Game: Season 1: The Man with the Umbrella","11/6/21"
"Squid Game: Season 1: Hell","11/6/21"
"Bo Burnham: Inside","10/21/21"
"You: Season 3: What Is Love?","10/19/21"
"You: Season 3: Red Flag","10/19/21"
"You: Season 3: Swing and a Miss","10/19/21"
"You: Season 3: We're All Mad Here","10/18/21"
"You: Season 3: W.O.M.B.","10/18/21"
"You: Season 3: Into the Woods","10/18/21"
"You: Season 3: Hands Across Madre Linda","10/18/21"
"You: Season 3: Missing White Woman Syndrome","10/18/21"
"You: Season 3: So I Married an Axe Murderer","10/18/21"
"You: Season 3: And They Lived Happily Ever After","10/18/21"
"You: Season 2: Love, Actually","10/17/21"
"You: Season 2: P.I. Joe","10/17/21"
"You: Season 2: Fear and Loathing in Beverly Hills","10/17/21"
"You: Season 2: Ex-istential Crisis","10/17/21"
"You: Season 2: Farewell, My Bunny","10/17/21"
"You: Season 2: Have a Good Wellkend, Joe!","10/17/21"
"You: Season 2: The Good, the Bad, & the Hendy","10/17/21"
"You: Season 2: What Are Friends For?","10/17/21"
"You: Season 2: Just the Tip","10/17/21"
"You: Season 2: A Fresh Start","10/17/21"
"You: Season 1: Bluebeard's Castle","10/17/21"
"You: Season 1: Candace","10/16/21"
"You: Season 1: You Got Me, Babe","10/16/21"
"You: Season 1: Everythingship","10/16/21"
"You: Season 1: Amour Fou","10/16/21"
"You: Season 1: Living with the Enemy","10/16/21"
"You: Season 1: The Captain","10/16/21"
"You: Season 1: Maybe","10/16/21"
"You: Season 1: The Last Nice Guy in New York","10/15/21"
"You: Season 1: Pilot","10/15/21"
"Sex Education: Season 3: Episode 8","9/30/21"
"Sex Education: Season 3: Episode 7","9/30/21"
"Sex Education: Season 3: Episode 6","9/30/21"
"Sex Education: Season 3: Episode 5","9/30/21"
"Sex Education: Season 3: Episode 4","9/30/21"
"Sex Education: Season 3: Episode 3","9/27/21"
"Sex Education: Season 3: Episode 2","9/27/21"
"Sex Education: Season 3: Episode 1","9/26/21"
"The Magicians: Season 1: Impractical Applications","9/13/21"
"Wynonna Earp: Season 1: Purgatory","9/12/21"
"Marianne: Season 1: Not an Easy Person","9/11/21"
"Marianne: Season 1: Tradition","9/11/21"
"Marianne: Season 1: Your Dreams","9/11/21"
"Clickbait: Limited Series: The Sister","9/11/21"
"The Magicians: Season 1: Mendings, Major and Minor","9/11/21"
"The Magicians: Season 1: The World in the Walls","9/10/21"
"The Magicians: Season 1: Consequences of Advanced Spellcasting","9/9/21"
"The Magicians: Season 1: The Source of Magic","9/8/21"
"The Magicians: Season 1: Unauthorized Magic","9/8/21"
"The Magicians: Season 4: No Better to Be Safe Than Sorry","9/8/21"
"The Magicians: Season 4: Escape from the Happy Place","9/8/21"
"The Magicians: Season 5: The Mountain of Ghosts","9/6/21"
"The Magicians: Season 3: A Life in the Day","9/6/21"
"The Magicians: Season 4: The Serpent","9/6/21"
"The Magicians: Season 5: Fillory and Further","9/6/21"
"The Magicians: Season 5: The Balls","9/6/21"
"The Magicians: Season 5: Be the Hyman","9/6/21"
"The Magicians: Season 5: Purgatory","9/6/21"
"The Magicians: Season 5: Cello Squirrel Daffodil","9/6/21"
"The Magicians: Season 5: Garden Variety Homicide","9/5/21"
"The Magicians: Season 5: Acting Dean","9/5/21"
"The Magicians: Season 5: Oops!... I Did It Again","9/5/21"
"The Magicians: Season 5: Apocalypse? Now?!","9/5/21"
"The Magicians: Season 5: Magicians Anonymous","9/5/21"
"The Magicians: Season 5: The Wrath of the Time Bees","9/5/21"
"The Magicians: Season 5: Do Something Crazy","9/5/21"
"The Magicians: Season 4: The Secret Sea","9/4/21"
"The Magicians: Season 4: The 4-1-1","9/4/21"
"The Magicians: Season 4: All That Hard, Glossy Armor","9/4/21"
"The Magicians: Season 4: Home Improvement","9/4/21"
"The Magicians: Season 4: The Side Effect","9/4/21"
"The Magicians: Season 4: A Timeline and Place","9/4/21"
"The Magicians: Season 4: Marry F**k Kill","9/4/21"
"The Magicians: Season 4: The Bad News Bear","9/4/21"
"The Magicians: Season 4: Lost, Found, F**ked","9/4/21"
"The Magicians: Season 4: A Flock of Lost Birds","9/4/21"
"The Magicians: Season 3: Will You Play with Me?","9/3/21"
"The Magicians: Season 3: The Fillorian Candidate","9/3/21"
"The Magicians: Season 3: Twenty-Three","9/3/21"
"The Magicians: Season 3: The Art of the Deal","9/3/21"
"The Magicians: Season 3: All that Josh","9/3/21"
"The Magicians: Season 3: Six Short Stories About Magic","9/3/21"
"The Magicians: Season 3: Poached Eggs","9/3/21"
"The Magicians: Season 3: Do You Like Teeth?","9/3/21"
"The Magicians: Season 3: Be the Penny","9/3/21"
"The Magicians: Season 3: The Losses of Magic","9/3/21"
"The Magicians: Season 3: Heroes and Morons","9/3/21"
"The Magicians: Season 3: The Tale of the Seven Keys","9/3/21"
"The Magicians: Season 2: We Have Brought You Little Cakes","9/3/21"
"The Magicians: Season 2: Ramifications","9/3/21"
"The Magicians: Season 2: The Rattening","9/2/21"
"The Magicians: Season 2: The Girl Who Told Time","9/2/21"
"The Magicians: Season 2: Lesser Evils","9/2/21"
"The Magicians: Season 2: Word as Bond","9/2/21"
"The Magicians: Season 2: Plan B","9/2/21"
"The Magicians: Season 2: The Cock Barrens","9/2/21"
"The Magicians: Season 2: Cheat Day","9/2/21"
"The Magicians: Season 2: The Flying Forest","9/2/21"
"The Magicians: Season 2: Divine Elimination","9/2/21"
"The Magicians: Season 2: Hotel Spa Potions","9/2/21"
"The Magicians: Season 2: Knight of Crowns","9/2/21"
"The Magicians: Season 1: Have You Brought Me Little Cakes","9/2/21"
"The Magicians: Season 1: Thirty-Nine Graves","9/2/21"
"The Magicians: Season 1: Remedial Battle Magic","9/2/21"
"The Magicians: Season 1: Homecoming","9/2/21"
"The Magicians: Season 1: The Writing Room","9/2/21"
"The Magicians: Season 1: The Strangled Heart","9/2/21"
"The Magicians: Season 1: The Mayakovsky Circumstance","9/2/21"
"Emily in Paris: Season 1: Emily in Paris","9/1/21"
"The Woman in the Window","9/1/21"
"Hit & Run: Season 1: Hit & Run","8/31/21"
"The Last Kingdom: Season 1: Episode 1","8/30/21"
"Castlevania: Season 1: Witchbottle","8/23/21"
"Castlevania: Season 3: The Reparation of My Heart","8/23/21"
"Outlander: Season 3: A. Malcolm","7/6/21"
"Blue Jay","6/29/21"
"Explained: Season 2: The Next Pandemic","4/29/21"
"The Garden of Words","3/29/21"
"Twin Peaks: Season 1: Pilot","3/20/21"
"Lovesong","3/20/21"
"Carol","3/18/21"
"A Series of Unfortunate Events: Season 2: The Austere Academy: Part 2","3/14/21"
"A Series of Unfortunate Events: Season 2: The Austere Academy: Part 1","3/14/21"
"Explained: Season 2: The Future of Meat","3/12/21"
"Explained: Season 2: Beauty","3/12/21"
"Explained: Season 2: Coding","3/12/21"
"To the Bone","3/11/21"
"The Good Place: Season 4: Whenever You're Ready","3/3/21"
"The Good Place: Season 4: Patty","3/3/21"
"The Good Place: Season 4: Mondays, Am I Right?","3/3/21"
"The Good Place: Season 4: You've Changed, Man","3/3/21"
"The Good Place: Season 4: The Answer","3/3/21"
"The Good Place: Season 4: The Funerals To End All Funerals","3/3/21"
"The Good Place: Season 4: Help is Other People","3/3/21"
"The Good Place: Season 4: A Chip Driver Mystery","3/3/21"
"The Good Place: Season 4: Employee of the Bearimy","3/3/21"
"The Good Place: Season 4: Tinker, Tailor, Demon, Spy","3/3/21"
